MATH 220,Calculus,,
MATH 231,Calculus II,MATH 220,
MATH 241,Calculus III,MATH 231,
MATH 225,Introductory Matrix Theory,MATH 220,
MATH 415,Applied Linear Algebra,MATH 241,
PHYS 211,University Physics: Mechanics,,MATH 231
PHYS 212,University Physics: Elec & Mag,PHYS 211,MATH 241
CS 101,Intro Computing: Engrg & Sci,MATH 220,
CS 102,Little Bits to Big Ideas,,
CS 105,Intro Computing: Non-Tech,,
CS 125,Intro to Computer Science,,
CS 126,Software Design Studio,CS 125,
CS 173,Discrete Structures,"MATH 220, CS 125 or ECE 220",
CS 196-25,Freshman Honors (CS 125),,CS 125
CS 196-73,Freshman Honors (CS 173),,CS 173
CS 199,Undergraduate Open Seminar,,
CS 210,Ethics & Professional Issues,"CS 225, junior standing",
CS 225,Data Structures,"CS 125 or ECE 220, CS 173 or MATH 213",
CS 233,Computer Architecture,"CS 125, CS 173",CS 225
CS 241,System Programming,CS 225,CS 233
CS 242,Programming Studio,CS 241,
CS 296-25,Honors Course (CS 225),,CS 225
CS 296-33,Honors Course (CS 233),,CS 233
CS 296-41,Honors Course (CS 241),,CS 241
CS 357,Numerical Methods I,"CS 101 or CS 125, MATH 225 or MATH 415, MATH 241",
CS 361,Prob & Stat for Computer Sci,"MATH 220, MATH 415",
CS 374,Intro to Algs & Models of Comp,"CS 225, MATH 225 or MATH 415",
CS 410,Text Information Systems,CS225,
CS 411,Database Systems,CS225,
CS 412,Intro to Data Mining,CS225,
CS 413,Intro to Combinatorics,MATH 347 or MATH 348 or equivalent experience,
CS 418,Interactive Computer Graphics,"CS225, MATH 241, MATH 225 or MATH 415",
CS 419,Production Computer Graphics,CS418,
CS 421,Programming Languages & Compilers,"CS 233, CS 374",
CS 422,Programming Language Design,CS 421,
CS 423,Operating Systems Design,CS 241 or ECE 391,
CS 425,Distributed Systems,CS 241 or ECE 391,
CS 427,Software Engineering I,"CS 225, CS 373",
CS 428,Software Engineering II,CS 427,
CS 429,"Software Engineering II, ACP",CS 427,
CS 431,Embedded Systems,CS 241 or ECE 391,
CS 433,Computer System Organization,CS 233,
CS 438,Communication Networks,CS 241 or ECE 391,
CS 440,Artificial Intelligence,CS 225 or ECE 391,
CS 446,Machine Learning,"CS 374, CS 440",
CS 450,Numerical Analysis,"CS 101 or CS 125, CS 357 or MATH 415, MATH 285",
CS 460,Security Laboratory,CS 461,
CS 461,Computer Security I,CS 241 or ECE 391,
CS 463,Computer Security II,CS 461,
CS 465,User Interface Design,CS 225,
CS 466,Introduction to Bioinformatics,CS 225,
CS 482,Simulation,"CS 101 or CS 125, IE 310",
CS 484,Parallel Programming,CS 241,
CS 491,Adv Competitive Algorithm Prog,,
CS 492,Senior Project I,CS Majors with senior status,
CS 493,"Senior Project II, ACP",CS 492,
CS 494,Senior Project II,CS 492,
CS 494,Senior Project II,CS 492,
